Id,Name,Gender,ZipCode,City,State,Country,Ethnicity,createdBy
701,William Kirby,Male,98372,Puyallup,WA,US,Refused/Done Not Know,Fidan Aliyeva
702,Riley Johnson,Gender neutral,98516,Olympia,WA,US,Hispanic / Latinx,Adam Puzyna
703,Hollie Rees,Female,98391,Bonney Lake,WA,US,Refused/Done Not Know,Andrea Fortuny
704,Sonia Rees,Female,98391,Bonney Lake,WA,US,Refused/Done Not Know,Emin Suleymanov
705,Parker Jones,Gender neutral,98029,Issaquah,WA,US,Refused/Done Not Know,Andrea Fortuny
706,Ethan Brooks,Male,98057,Renton,WA,US,Refused/Done Not Know,Emin Suleymanov
707,Grace Owens,Female,98589,Tenino,WA,US,Refused/Done Not Know,Andrea Fortuny
708,Amber Rodriguez,Female,98516,Olympia,WA,US,Refused/Done Not Know,Andrea Fortuny
709,Amari Rivera,Gender neutral,98499,Lakewood,WA,US,Refused/Done Not Know,Andrea Fortuny
710,Ana Bowman,Female,98467,University Place,WA,US,Hispanic / Latinx,Andrea Fortuny
711,Abigail Jackson,Female,98327,Dupont,WA,US,Refused/Done Not Know,Fidan Aliyeva
712,Devon Torres,Gender neutral,98052,Redmond,WA,US,Hispanic / Latinx,Aryna Siamashka
713,Felix Henderson,Male,98422,Tacoma,WA,US,Refused/Done Not Know,Emin Suleymanov
714,Cameron Baker,Gender neutral,98516,Olympia,WA,US,Hispanic / Latinx,Aryna Siamashka
715,Casey Jensen,Gender neutral,98042,Covington,WA,US,Refused/Done Not Know,Andrea Fortuny
716,Caleb Foster,Male,98105,Seattle,WA,US,Refused/Done Not Know,Adam Puzyna
717,Andre Lawson,Male,98055,Renton,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
718,Avery Howard,Gender neutral,98032,Kent,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
719,Ashley Schroeder,Female,98327,Dupont,WA,US,Refused/Done Not Know,Fidan Aliyeva
720,Hannah Jarvis,Female,98502,Olympia,WA,US,Refused/Done Not Know,Adam Puzyna
721,Joseph Price,Male,98380,Seabeck,WA,US,Refused/Done Not Know,Emin Suleymanov
722,Anthony Ivanov,Male,98391,Bonney Lake,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
723,Ellis Turner,Gender neutral,98391,Bonney Lake,WA,US,Hispanic / Latinx,Fidan Aliyeva
724,Henry Ross,Male,98033,Kirkland,WA,US,Hispanic / Latinx,Adam Puzyna
725,Dylan Williams,Gender neutral,98074,Sammamish,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
726,Jacob Hancock,Male,98467,University Place,WA,US,Hispanic / Latinx,Adam Puzyna
727,Jordan Mitchell,Gender neutral,98038,Maple Valley,WA,US,Hispanic / Latinx,Fidan Aliyeva
728,Jessie Irwin,Gender neutral,98327,Dupont,WA,US,Refused/Done Not Know,Emin Suleymanov
729,Briana Hernandez,Female,98372,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
730,Kendall Collins,Gender neutral,98503,Lacey,WA,US,Refused/Done Not Know,Fidan Aliyeva
731,Cora Thomas,Female,98589,Tenino,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
732,Malik Barden,Male,98125,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
733,Mateo Gomez,Male,98125,Seattle,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
734,Mikaela Lee,Female,98338,Graham,WA,US,Hispanic / Latinx,Adam Puzyna
735,Mario Rogers,Male,98405,Tacoma,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
736,Madison Butler,Female,98032,Kent,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
737,Eric Solomon,Male,98119,Seattle,WA,US,Hispanic / Latinx,Adam Puzyna
738,Kiana Anderson,Female,98101,Black Diamond,WA,US,Refused/Done Not Know,Aryna Siamashka
739,Quinn Campbell,Gender neutral,98506,Olympia,WA,US,Hispanic / Latinx,Fidan Aliyeva
740,Nicole Wagner,Female,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
741,Rory Nyuyen,Gender neutral,98467,University Place,WA,US,Hispanic / Latinx,Aryna Siamashka
742,Nathan Rigby,Male,98327,Dupont,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
743,Omar Bennett,Male,98002,Auburn,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
744,Remy Morris,Gender neutral,98119,Seattle,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
745,Morgan Connors,Gender neutral,98052,Redmond,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
746,Victoria Burke,Female,98372,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
747,Rowan Murphy,Gender neutral,98074,Sammamish,WA,US,Refused/Done Not Know,Fidan Aliyeva
748,Graham Barnes,Male,98033,Kirkland,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
749,Eugenia Lopez,Female,98074,Sammamish,WA,US,Hispanic / Latinx,Adam Puzyna
750,Elizabeth Moore,Female,98338,Graham,WA,US,Refused/Done Not Know,Aryna Siamashka
751,Maria Sullivan,Female,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
752,Robin Kline,Gender neutral,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
753,Michelle Harris,Female,98115,Seattle,WA,US,Hispanic / Latinx,Adam Puzyna
754,Vance DeLeon,Male,98383,Silverdale,WA,US,Refused/Done Not Know,Andrea Fortuny
755,Kai Carter,Gender neutral,98115,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
756,Hayden Cook,Gender neutral,98057,Renton,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
757,Markus Long,Male,98112,Seattle,WA,US,Hispanic / Latinx,Adam Puzyna
758,William Beringer,Male,98119,Seattle,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
759,Michael Peltier,Male,98503,Lacey,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
760,Corey Gray,Male,98409,Tacoma,WA,US,Hispanic / Latinx,Emin Suleymanov
761,Kayla Lewis,Female,98052,Redmond,WA,US,Hispanic / Latinx,Andrea Fortuny
762,Monica Thomson,Female,98387,Spanaway,WA,US,Refused/Done Not Know,Aryna Siamashka
763,Hailey Clark,Female,98422,Tacoma,WA,US,Refused/Done Not Know,Fidan Aliyeva
764,Tomas Richardson,Male,98030,Kent,WA,US,Hispanic / Latinx,Aryna Siamashka
765,Tyler Stein,Gender neutral,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
766,Juan Morgan,Male,98115,Seattle,WA,US,Hispanic / Latinx,Fidan Aliyeva
767,Natasha Jones,Female,98103,Seattle,WA,US,Hispanic / Latinx,Emin Suleymanov
768,Oscar Ward,Male,98119,Seattle,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
769,Serena Davis,Female,98387,Spanaway,WA,US,Hispanic / Latinx,Aryna Siamashka
770,Renata Hall,Female,98372,Puyallup,WA,US,Hispanic / Latinx,Aryna Siamashka
771,Miguel Reyes,Male,98112,Seattle,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
772,Reed Flores,Gender neutral,98033,Kirkland,WA,US,Hispanic / Latinx,Andrea Fortuny
773,Sydney Mattos,Female,98422,Tacoma,WA,US,Refused/Done Not Know,Fidan Aliyeva
774,Parker McLean,Gender neutral,98589,Tenino,WA,US,Refused/Done Not Know,Fidan Aliyeva
775,Olivia Wilson,Female,98503,Lacey,WA,US,Hispanic / Latinx,Emin Suleymanov
776,Preston Morales,Male,98038,Maple Valley,WA,US,Hispanic / Latinx,Emin Suleymanov
777,Quincy Watson,Male,98409,Tacoma,WA,US,Refused/Done Not Know,Andrea Fortuny
778,Sam Centrell,Gender neutral,98391,Bonney Lake,WA,US,Hispanic / Latinx,Andrea Fortuny
779,Aare Paasuke,Gender neutral,98380,Seabeck,WA,US,Refused/Done Not Know,Emin Suleymanov
780,Aile Magi,Female,98052,Redmond,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
781,Allan Paasuke,Male,98405,Tacoma,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
782,Aino Rebane,Female,98387,Spanaway,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
783,Harri Kalda,Male,98501,Olympia,WA,US,Refused/Done Not Know,Emin Suleymanov
784,Helbe Sokk,Female,98506,Olympia,WA,US,Refused/Done Not Know,Andrea Fortuny
785,Ergo Raud,Male,98168,Tukwila,WA,US,Hispanic / Latinx,Adam Puzyna
786,Inna Aasmae,Female,98103,Seattle,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
787,Aet Sepp,Female,98052,Redmond,WA,US,Refused/Done Not Know,Aryna Siamashka
788,Brita Tamm,Female,98030,Kent,WA,US,Hispanic / Latinx,Aryna Siamashka
789,Eerik Kotka,Male,98055,Renton,WA,US,Refused/Done Not Know,Fidan Aliyeva
790,Heidi Koppel,Female,98501,Olympia,WA,US,Refused/Done Not Know,Adam Puzyna
791,Erik Valjas,Male,98101,Black Diamond,WA,US,Refused/Done Not Know,Emin Suleymanov
792,Kert Jogi,Gender neutral,98372,Puyallup,WA,US,Refused/Done Not Know,Adam Puzyna
793,Georg Kallas,Male,98038,Maple Valley,WA,US,Refused/Done Not Know,Fidan Aliyeva
794,Kert Jogi,Male,98499,Lakewood,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
795,Kerstin Mark,Female,98371,Puyallup,WA,US,Refused/Done Not Know,Emin Suleymanov
796,Kersti Kasesalu,Female,98467,University Place,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
797,Anu Parn,Female,98516,Olympia,WA,US,Hispanic / Latinx,Emin Suleymanov
798,Helen Karu,Female,98338,Graham,WA,US,Hispanic / Latinx,Fidan Aliyeva
799,Aada Saar,Female,98383,Silverdale,WA,US,Hispanic / Latinx,Emin Suleymanov
800,Kristiina Mae,Female,98503,Lacey,WA,US,Hispanic / Latinx,Fidan Aliyeva
801,Iris Lepik,Female,98103,Seattle,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
802,Lennart Kangur,Male,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
803,Airi Ilves,Female,98380,Seabeck,WA,US,Refused/Done Not Know,Aryna Siamashka
804,Marten Lohmus,Male,98499,Lakewood,WA,US,Hispanic / Latinx,Fidan Aliyeva
805,Kristi Laar,Female,98119,Seattle,WA,US,Refused/Done Not Know,Adam Puzyna
806,Liidia Peetre,Female,98052,Redmond,WA,US,Refused/Done Not Know,Fidan Aliyeva
807,Mario Vesik,Male,98033,Kirkland,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
808,Markus Lill,Male,98372,Puyallup,WA,US,Hispanic / Latinx,Andrea Fortuny
809,Kertu Aare,Female,98338,Graham,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
810,Kris Lepmets,Gender neutral,98032,Kent,WA,US,Hispanic / Latinx,Andrea Fortuny
811,Reigo Lepp,Male,98002,Auburn,WA,US,Hispanic / Latinx,Adam Puzyna
812,Koidu Kallas,Female,98074,Sammamish,WA,US,Hispanic / Latinx,Andrea Fortuny
813,Paul Kirsipuu,Male,98042,Covington,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
814,Raul Laurits,Male,98115,Seattle,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
815,Peep Vaher,Male,98372,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
816,Eero Kross,Male,98055,Renton,WA,US,Hispanic / Latinx,Emin Suleymanov
817,Lilli Allik,Female,98055,Renton,WA,US,Hispanic / Latinx,Emin Suleymanov
818,Peeter Vaino,Male,98422,Tacoma,WA,US,Hispanic / Latinx,Emin Suleymanov
819,Rene Magi,Gender neutral,98503,Lacey,WA,US,Refused/Done Not Know,Adam Puzyna
820,Risto Lepmets,Male,98052,Redmond,WA,US,Refused/Done Not Know,Adam Puzyna
821,Rauno Leok,Male,98312,Bremerton,WA,US,Hispanic / Latinx,Emin Suleymanov
822,Irene Kuusik,Female,98589,Tenino,WA,US,Refused/Done Not Know,Emin Suleymanov
823,Kristel Kangro,Female,98409,Tacoma,WA,US,Refused/Done Not Know,Adam Puzyna
824,Richard Malk,Male,98506,Olympia,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
825,Oliver Mand,Male,98506,Olympia,WA,US,Hispanic / Latinx,Fidan Aliyeva
826,Jana Pihlak,Female,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
827,Robert Keskkula,Male,98380,Seabeck,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
828,Jaan Valbe,Male,98503,Lacey,WA,US,Hispanic / Latinx,Aryna Siamashka
829,Saara Teinemaa,Female,98001,Auburn,WA,US,Refused/Done Not Know,Emin Suleymanov
830,Rene Magi,Male,98115,Seattle,WA,US,Refused/Done Not Know,Aryna Siamashka
831,Marten Ruutli,Male,98029,Issaquah,WA,US,Refused/Done Not Know,Fidan Aliyeva
832,Kristin Orav,Female,98002,Auburn,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
833,Christine Ramos,Female,98372,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
834,Allan Castillo,Male,98030,Kent,WA,US,Refused/Done Not Know,Fidan Aliyeva
835,Arnel Cruz,Male,98383,Silverdale,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
836,Dennis Ocampo,Male,98387,Spanaway,WA,US,Hispanic / Latinx,Andrea Fortuny
837,Ariel Flores,Male,98516,Olympia,WA,US,Refused/Done Not Know,Adam Puzyna
838,Jennifer de la Rosa,Female,98338,Graham,WA,US,Refused/Done Not Know,Emin Suleymanov
839,Joan Villanueva,Female,98002,Auburn,WA,US,Hispanic / Latinx,Andrea Fortuny
840,Rodel Torres,Male,98422,Tacoma,WA,US,Hispanic / Latinx,Emin Suleymanov
841,Angelo Andrada,Male,98055,Renton,WA,US,Hispanic / Latinx,Fidan Aliyeva
842,Lester Tomas,Male,98052,Redmond,WA,US,Hispanic / Latinx,Andrea Fortuny
843,Marissa Navarro,Female,98405,Tacoma,WA,US,Hispanic / Latinx,Emin Suleymanov
844,Karen Rivera,Female,98409,Tacoma,WA,US,Hispanic / Latinx,Andrea Fortuny
845,Maricel Bautista,Female,98074,Sammamish,WA,US,Refused/Done Not Know,Adam Puzyna
846,Marites Reyes,Female,98119,Seattle,WA,US,Refused/Done Not Know,Adam Puzyna
847,Rowena Castro,Female,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
848,Hazel Salazar,Female,98105,Seattle,WA,US,Refused/Done Not Know,Aryna Siamashka
849,Sheryl Mercado,Female,98033,Kirkland,WA,US,Hispanic / Latinx,Fidan Aliyeva
850,Rommel Garcia,Male,98387,Spanaway,WA,US,Refused/Done Not Know,Fidan Aliyeva
851,Aili Möttölä,Female,98033,Kirkland,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
852,Annika Mäkinen,Female,98501,Olympia,WA,US,Refused/Done Not Know,Fidan Aliyeva
853,Anette Rautakorpi,Female,98074,Sammamish,WA,US,Refused/Done Not Know,Adam Puzyna
854,Aurora Repo,Female,98312,Bremerton,WA,US,Refused/Done Not Know,Fidan Aliyeva
855,Carita Hasu,Female,98589,Tenino,WA,US,Refused/Done Not Know,Fidan Aliyeva
856,Antero Tuominen,Male,98589,Tenino,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
857,Carita Aalto,Female,98101,Black Diamond,WA,US,Refused/Done Not Know,Andrea Fortuny
858,Ensi Vasala,Gender neutral,98052,Redmond,WA,US,Hispanic / Latinx,Aryna Siamashka
859,Emma Reho,Female,98030,Kent,WA,US,Refused/Done Not Know,Fidan Aliyeva
860,Isse Salomäki,Gender neutral,98074,Sammamish,WA,US,Refused/Done Not Know,Adam Puzyna
861,Katri Korhola,Female,98312,Bremerton,WA,US,Hispanic / Latinx,Andrea Fortuny
862,Hannes Niemi,Male,98057,Renton,WA,US,Hispanic / Latinx,Aryna Siamashka
863,Harri Mylläri,Male,98503,Lacey,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
864,Jukka-Pekka Enestam,Male,98405,Tacoma,WA,US,Refused/Done Not Know,Adam Puzyna
865,Jaakko Isohookana,Male,98112,Seattle,WA,US,Refused/Done Not Know,Adam Puzyna
866,Konsta Koivunen,Male,98338,Graham,WA,US,Hispanic / Latinx,Adam Puzyna
867,Kuura Kalliomäki,Gender neutral,98029,Issaquah,WA,US,Hispanic / Latinx,Adam Puzyna
868,Elias Hyyppä,Male,98103,Seattle,WA,US,Hispanic / Latinx,Andrea Fortuny
869,Ilse Suutari-Jääskö,Female,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
870,Kotivalo Rautakorpi,Gender neutral,98380,Seabeck,WA,US,Refused/Done Not Know,Fidan Aliyeva
871,Rita Viinikainen,Female,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
872,Karita Puurunen,Female,98371,Puyallup,WA,US,Refused/Done Not Know,Andrea Fortuny
873,Juhani Salomäki,Male,98312,Bremerton,WA,US,Hispanic / Latinx,Fidan Aliyeva
874,Kalevi Laurinen,Male,98001,Auburn,WA,US,Refused/Done Not Know,Aryna Siamashka
875,Oma Yli-Sirniö,Gender neutral,98499,Lakewood,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
876,Sirja Seppälä,Female,98105,Seattle,WA,US,Hispanic / Latinx,Fidan Aliyeva
877,Oona Leppänen,Female,98002,Auburn,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
878,Mauno Kilpi,Male,98502,Olympia,WA,US,Hispanic / Latinx,Aryna Siamashka
879,Sointu Kauppi,Gender neutral,98589,Tenino,WA,US,Hispanic / Latinx,Adam Puzyna
880,Lassi Kalliomäki,Male,98502,Olympia,WA,US,Hispanic / Latinx,Adam Puzyna
881,Taina Stenvall,Female,98105,Seattle,WA,US,Refused/Done Not Know,Aryna Siamashka
882,Nour Mylläri,Gender neutral,98338,Graham,WA,US,Hispanic / Latinx,Aryna Siamashka
883,Kaarle Yli-Sirniö,Male,98391,Bonney Lake,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
884,Jaakko Yli-Sirniö,Male,98030,Kent,WA,US,Hispanic / Latinx,Aryna Siamashka
885,Taina Hasu,Female,98074,Sammamish,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
886,Pontus Jutila,Male,98380,Seabeck,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
887,Leila Järvelä,Female,98105,Seattle,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
888,Sirkka Salpa,Female,98372,Puyallup,WA,US,Refused/Done Not Know,Adam Puzyna
889,Noora Linna,Female,98038,Maple Valley,WA,US,Refused/Done Not Know,Fidan Aliyeva
890,Taneli Kalliomäki,Male,98409,Tacoma,WA,US,Hispanic / Latinx,Aryna Siamashka
891,Tuisku Tuominen,Gender neutral,98467,University Place,WA,US,Refused/Done Not Know,Fidan Aliyeva
892,Selma Pakarinen,Female,98105,Seattle,WA,US,Hispanic / Latinx,Andrea Fortuny
893,Marja Kestilä,Female,98168,Tukwila,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
894,Vilma Waltari,Female,98105,Seattle,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
895,Tarja Hyypiä,Female,98103,Seattle,WA,US,Refused/Done Not Know,Andrea Fortuny
896,Viljo Kurri,Male,98338,Graham,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
897,Sointu Kauppi,Female,98032,Kent,WA,US,Refused/Done Not Know,Andrea Fortuny
898,Veli Koivula,Male,98022,Enumclaw,WA,US,Refused/Done Not Know,Adam Puzyna
899,Miika Wahlman,Male,98105,Seattle,WA,US,Refused/Done Not Know,Fidan Aliyeva
900,Stefan Lepistö,Male,98380,Seabeck,WA,US,Hispanic / Latinx,Adam Puzyna
901,Liisi Pyysalo,Female,98057,Renton,WA,US,Hispanic / Latinx,Andrea Fortuny
902,Viljo Putkonen,Male,98499,Lakewood,WA,US,Hispanic / Latinx,Andrea Fortuny
903,Manu Mallat,Male,98589,Tenino,WA,US,Refused/Done Not Know,Aryna Siamashka
904,Muisto Linna,Gender neutral,98052,Redmond,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
905,Jari Kantee,Male,98502,Olympia,WA,US,Refused/Done Not Know,Emin Suleymanov
906,Terje Möttölä,Gender neutral,98052,Redmond,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
907,Frans Vasala,Male,98105,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
908,Sirkka Jantunen,Female,98101,Black Diamond,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
909,Jani Vasala,Male,98499,Lakewood,WA,US,Hispanic / Latinx,Andrea Fortuny
910,Tommy Somervuori,Male,98033,Kirkland,WA,US,Refused/Done Not Know,Fidan Aliyeva
911,Utu Linna,Gender neutral,98312,Bremerton,WA,US,Refused/Done Not Know,Aryna Siamashka
912,Alain Davignon,Male,98042,Covington,WA,US,Refused/Done Not Know,Fidan Aliyeva
913,Andree Rocher,Female,98038,Maple Valley,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
914,Alex Gagnon,Gender neutral,98115,Seattle,WA,US,Refused/Done Not Know,Fidan Aliyeva
915,Alix Gauthier,Gender neutral,98371,Puyallup,WA,US,Hispanic / Latinx,Aryna Siamashka
916,Arianne Brunelle,Female,98032,Kent,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
917,Bernadette Sylvain,Female,98030,Kent,WA,US,Refused/Done Not Know,Adam Puzyna
918,Camille Brunelle,Female,98002,Auburn,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
919,Camille Tremblay,Gender neutral,98372,Puyallup,WA,US,Hispanic / Latinx,Andrea Fortuny
920,Blaise Richer,Male,98042,Covington,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
921,Christian Lacombe,Male,98001,Auburn,WA,US,Hispanic / Latinx,Aryna Siamashka
922,Charlie Roy,Gender neutral,98115,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
923,Bernadette Leblanc,Female,98371,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
924,Carol Bouchard,Gender neutral,98422,Tacoma,WA,US,Hispanic / Latinx,Emin Suleymanov
925,Denise Bourgeois,Female,98112,Seattle,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
926,Charline Leblanc,Female,98503,Lacey,WA,US,Refused/Done Not Know,Andrea Fortuny
927,Elise Vadeboncoeur,Female,98105,Seattle,WA,US,Refused/Done Not Know,Emin Suleymanov
928,Camille Cartier,Female,98516,Olympia,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
929,Arianne Monty,Female,98312,Bremerton,WA,US,Hispanic / Latinx,Adam Puzyna
930,Christian Cartier,Male,98112,Seattle,WA,US,Hispanic / Latinx,Adam Puzyna
931,Isabelle Deniger,Female,98422,Tacoma,WA,US,Hispanic / Latinx,Fidan Aliyeva
932,Christophe Beaulieu,Male,98338,Graham,WA,US,Hispanic / Latinx,Emin Suleymanov
933,Annette Flamand,Female,98312,Bremerton,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
934,Aline Dupuy,Female,98383,Silverdale,WA,US,Refused/Done Not Know,Aryna Siamashka
935,Jerome Rivard,Male,98101,Black Diamond,WA,US,Hispanic / Latinx,Andrea Fortuny
936,Felicienne Beaudouin,Female,98338,Graham,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
937,Audrey Dumoulin,Female,98002,Auburn,WA,US,Refused/Done Not Know,Adam Puzyna
938,Danielle Brasseur,Female,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
939,Gilbert Bonsaint,Male,98119,Seattle,WA,US,Refused/Done Not Know,Fidan Aliyeva
940,Genevieve Bousquet,Female,98503,Lacey,WA,US,Hispanic / Latinx,Andrea Fortuny
941,Josephine Hebert,Female,98501,Olympia,WA,US,Hispanic / Latinx,Andrea Fortuny
942,Ariane Pannetier,Female,98383,Silverdale,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
943,Jacqueline Grondin,Female,98033,Kirkland,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
944,Denise Lebatelier,Female,98405,Tacoma,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
945,Genevieve Plante,Female,98506,Olympia,WA,US,Hispanic / Latinx,Emin Suleymanov
946,Claude Chasse,Male,98001,Auburn,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
947,Maurice Paulet,Male,98115,Seattle,WA,US,Hispanic / Latinx,Aryna Siamashka
948,Maxime Côté,Gender neutral,98030,Kent,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
949,Genevieve Arcouet,Female,98033,Kirkland,WA,US,Refused/Done Not Know,Andrea Fortuny
950,Marcel Langelier,Male,98503,Lacey,WA,US,Refused/Done Not Know,Fidan Aliyeva
951,Rene Pelletier,Male,98589,Tenino,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
952,Sylvie Rocher,Female,98516,Olympia,WA,US,Refused/Done Not Know,Andrea Fortuny
953,Heloise Cartier,Female,98125,Seattle,WA,US,Hispanic / Latinx,Andrea Fortuny
954,Theodore Lamy,Male,98422,Tacoma,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
955,Alexandre Chauvin,Male,98101,Black Diamond,WA,US,Refused/Done Not Know,Andrea Fortuny
956,Marie Berthelette,Female,98115,Seattle,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
957,Élisabeth Arcouet,Female,98022,Enumclaw,WA,US,Refused/Done Not Know,Aryna Siamashka
958,Jean Nadeau,Male,98372,Puyallup,WA,US,Hispanic / Latinx,Andrea Fortuny
959,Claude Aube,Male,98391,Bonney Lake,WA,US,Refused/Done Not Know,Emin Suleymanov
960,Philippe Chauvin,Male,98074,Sammamish,WA,US,Non-Hispanic / Non-Latinx,Aryna Siamashka
961,Arthur Levesque,Male,98312,Bremerton,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
962,Noel Belisle,Male,98119,Seattle,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
963,Max Morin,Gender neutral,98038,Maple Valley,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
964,Sebastien Charron,Male,98103,Seattle,WA,US,Non-Hispanic / Non-Latinx,Emin Suleymanov
965,Marcel Paulet,Male,98501,Olympia,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
966,Sidney Bellefeuille,Male,98409,Tacoma,WA,US,Non-Hispanic / Non-Latinx,Andrea Fortuny
967,Thomas Bellefeuille,Male,98057,Renton,WA,US,Hispanic / Latinx,Fidan Aliyeva
968,Marie Methot,Female,98327,Dupont,WA,US,Hispanic / Latinx,Fidan Aliyeva
969,David Tremblay,Male,98387,Spanaway,WA,US,Non-Hispanic / Non-Latinx,Adam Puzyna
970,Alain Henry,Male,98022,Enumclaw,WA,US,Hispanic / Latinx,Aryna Siamashka
971,Gilbert Lacroix,Male,98502,Olympia,WA,US,Refused/Done Not Know,Andrea Fortuny
972,Bernard Cote,Male,98391,Bonney Lake,WA,US,Refused/Done Not Know,Emin Suleymanov
973,Sasha Ouellet,Gender neutral,98371,Puyallup,WA,US,Non-Hispanic / Non-Latinx,Fidan Aliyeva
974,Liane Cormier,Female,98499,Lakewood,WA,US,Hispanic / Latinx,Fidan Aliyeva
